"Dev_MaxLS";"CWM_MaxLS";"Aridity";"Woody";"Grazing";"Lattitude";"Long_cos";"Long_sin";"Elevation";"MAT";"Site_ID"
"\"1\"";-0.020740415835004;7.91706317162837;0.8319;0.0498;3;35.26746;-0.996622057438885;-0.0821247503879507;850;15.5;"\"1\""
"\"2\"";0.297790957083355;9.72549443848789;0.8339;0.0203;2;35.26817;-0.995755596025024;-0.092036910991459;858;15.4;"\"1\""
"\"3\"";0.240493535250207;9.47629802572713;0.8339;0.0254;1;35.26881;-0.995206014429383;-0.0978007609560567;870;15.4;"\"1\""
"\"4\"";0.11314382518311;10.2689266725826;0.8535;1;3;34.93256;-0.995856660935899;0.0909368509989313;863;15.7;"\"2\""
"\"5\"";0.219877639460763;10.8696014570315;0.8538;0.9175;2;34.93281;-0.996601881662024;0.0823692264605693;863;15.6;"\"2\""
"\"6\"";0.119925160360914;11.4753945572798;0.8541;0.9461;1;34.93471;-0.997116983569635;0.0758796486351442;864;15.7;"\"2\""
"\"7\"";0.0959228091745481;9.09187686244342;0.709;0.4646;3;-41.04097;0.196791851687089;-0.980445290217443;1077;8;"\"3\""
"\"8\"";0.0456096868742681;8.82102724730073;0.6982;0.3651;2;-41.03246;0.161563444096943;-0.986862327547026;1073;8.1;"\"3\""
"\"9\"";0.0328305241927579;8.30514438924762;0.709;0.2746;0;-41.03991;0.195369999637053;-0.980729607609466;1076;8;"\"3\""
"\"10\"";0.032137951526386;9.12999187820942;0.4868;0.7822;3;-41.0138;-0.352232392934603;-0.935912571433659;1099;7.6;"\"4\""
"\"11\"";0.0111706630478087;8.55848674608359;0.4852;0.194;2;-41.02781;-0.351015409298109;-0.936369682569486;1069;7.8;"\"4\""
"\"12\"";0.168824853431306;8.61163966035476;0.4977;0.0038;1;-41.00444;-0.364471586249012;-0.931214509561105;1127;7.5;"\"4\""
"\"13\"";0.0406384025183505;6.32840184589608;0.7888;0.0968;3;-51.49186;0.976227679521562;-0.21674758991958;117;7.2;"\"5\""
"\"14\"";0.0189557874228794;6.73677514417716;0.7859;0.1194;2;-51.49207;0.979050474869686;-0.20361769976464;123;7.1;"\"5\""
"\"15\"";0.0342163272104273;6.10423651763775;0.787;0.2007;1;-51.4936;0.981673825332639;-0.190568886906501;130;7.1;"\"5\""
"\"16\"";0.103908322300055;10.1783921680755;0.8181;0.6055;3;-39.11661;0.346670740797027;-0.937986885556104;109;15.2;"\"6\""
"\"17\"";0.169986970586348;10.5607732403291;0.8193;0.5804;2;-39.11783;0.344944259057403;-0.938623171535488;106;15.2;"\"6\""
"\"18\"";0.20727372106621;10.7952721867642;0.8193;0.7724;1;-39.12131;0.338337268819419;-0.941024915997348;103;15.2;"\"6\""
"\"19\"";0.0713202907897971;9.86063044709119;0.8724;0.8336;3;-40.60614;-0.972856894558662;0.231407568393248;190;14.6;"\"7\""
"\"20\"";0.191786328827038;10.4490804488994;0.8724;0.9655;2;-40.60492;-0.974132996498064;0.225975452502487;191;14.6;"\"7\""
"\"21\"";0.049445914470052;11.014036670385;0.8718;0.9558;1;-40.60558;-0.980192678924311;0.198046237488076;187;14.7;"\"7\""
"\"22\"";0;10.5955936612676;0.839;0.9989;3;-27.59989;-0.913754702610225;0.406266345465262;954;19.7;"\"8\""
"\"23\"";0.0938420829956632;11.9699878549388;0.839;0.9871;2;-27.59703;-0.910958612301182;0.412497765659773;957;19.7;"\"8\""
"\"24\"";0.130185293629119;11.2892411701355;0.8395;0.9908;1;-27.59494;-0.906813449405098;0.421532167192525;960;19.7;"\"8\""
"\"25\"";0.147029174704063;11.81598188116;0.7757;0.9741;3;-29.28744;-0.744890431492414;-0.667186814221508;240;20.5;"\"9\""
"\"26\"";0.102018140567712;12.0114186413015;0.7767;0.9172;2;-29.28739;-0.750230480362418;-0.661176395778899;242;20.5;"\"9\""
"\"27\"";0.168768813552175;12.1335547737789;0.7776;0.7811;1;-29.28573;-0.757327293606002;-0.653035504669851;248;20.5;"\"9\""
"\"28\"";0.0070698820702502;5.86245863946185;0.8975;0.6974;3;-45.45081;0.758100024688918;-0.65213829251675;475;10.1;"\"10\""
"\"29\"";0.0236006477079087;7.40746336678814;0.8921;0.9717;2;-45.37281;0.709201328938742;-0.705006010635032;484;10;"\"10\""
"\"30\"";0.0077896310460924;6.91252075625615;0.8899;0.8673;1;-45.07703;0.624182478501977;-0.781278588936833;546;9.7;"\"10\""
"\"31\"";0.003577082826682;6.75355881900359;0.8881;0.6118;0;-45.125;0.635684339804676;-0.77194910462225;533;9.7;"\"10\""
"\"32\"";0.158667592738472;9.30090283654522;0.8759;0.5177;3;-45.38136;0.447532964039754;-0.894267435445232;530;9.6;"\"11\""
"\"33\"";0.126829010285967;8.32574982573493;0.8713;0.1871;2;-45.38406;0.41914618417754;-0.907918760842295;535;9.6;"\"11\""
"\"34\"";0.118343053269083;8.40421603952814;0.8674;0.3324;1;-45.43025;0.380497966220894;-0.924781756795496;542;9.5;"\"11\""
"\"35\"";0.0860717515162486;7.13490325814123;0.8724;0.1848;0;-45.38108;0.426522675123693;-0.904476869580051;533;9.6;"\"11\""
"\"36\"";0.129786799385581;8.77738332925298;0.4992;0.3282;3;-45.55611;-0.70772673425717;-0.706486284097349;668;7.3;"\"12\""
"\"37\"";-0.001371384529073;6.95247519231947;0.5015;0.0209;2;-45.58158;-0.7067652587014;-0.707448138800819;677;7.2;"\"12\""
"\"38\"";0.0306809387827816;7.07948491284886;0.5557;0.1786;1;-45.57636;-0.647352152001382;-0.762191046456976;652;7.5;"\"12\""
"\"39\"";0.008532786439349;7.26121580137996;0.551;0.0877;0;-45.58042;-0.648875238374176;-0.760894818634518;659;7.5;"\"12\""
"\"40\"";0.0814322928331625;8.0741403838006;0.9008;0.464;3;-31.0827;-0.946362492331015;-0.323106844726368;186;19.3;"\"13\""
"\"41\"";0.0277808342999354;6.13537739522354;0.9002;0.6657;2;-31.05004;-0.955129216645145;-0.296189431801393;217;19.2;"\"13\""
"\"42\"";0.148032991598588;7.6195773128043;0.8982;0.6191;1;-31.02409;-0.953105167862397;-0.302639288582948;239;19.1;"\"13\""
"\"43\"";0.219163740097394;8.81590480731013;0.901;0.7871;0;-31.08305;-0.946900760856034;-0.321525969542531;187;19.3;"\"13\""
"\"44\"";0.124715814749992;11.1184420040148;0.8057;0.9763;3;-34.78926;0.970887476973096;0.239536024549162;87;17.1;"\"14\""
"\"45\"";0.0542012216384475;7.64603477200546;0.8074;0.4802;2;-34.71686;0.967058191734629;0.25455540418335;88;17.1;"\"14\""
"\"46\"";0.102701105554593;8.03508209685286;0.8069;0.8531;1;-34.69379;0.959205502352357;0.282709752673944;89;17.1;"\"14\""
"\"47\"";0.0458539563575819;10.1114515366877;0.8058;0.9992;0;-34.78923;0.964482820165694;0.26414558411079;87;17.1;"\"14\""
"\"48\"";0.051563530928076;9.48859460972546;0.7601;0.4327;3;-31.48905;-0.91083876633489;0.412762330817063;168;19;"\"15\""
"\"49\"";0.121769104339406;8.7737962855601;0.761;0.8562;2;-31.51075;-0.905064603934889;0.425274103025547;170;19;"\"15\""
"\"50\"";0.0951177572611198;10.255107120085;0.7601;0.962;1;-31.49073;-0.911604928259098;0.411067457692439;169;19;"\"15\""
"\"51\"";0.014760598715354;7.38922553956117;0.9239;0.0045;3;-23.43513;0.93555706419711;0.353175564883648;128;24.1;"\"16\""
"\"52\"";0.023196028160659;9.95148358972171;0.9232;0.0035;2;-23.41908;0.937707913532121;0.347424623334669;134;24.1;"\"16\""
"\"53\"";0.125582207181062;9.81811883026277;0.9233;0;1;-23.41018;0.940847551126223;0.338830172121357;134;24.1;"\"16\""
"\"54\"";-0.039248558789893;11.4456651145302;0.9214;4e-04;0;-23.35654;0.950928508971826;0.309410683113268;154;24;"\"16\""
"\"55\"";-0.025417385534904;10.0024214683981;0.9255;0;3;-23.43435;0.997742040288981;0.0671626461657224;168;23.8;"\"17\""
"\"56\"";0.0512792191618696;10.3958687859448;0.9255;0.0498;2;-23.41146;0.998387129591418;0.0567727000080911;175;23.8;"\"17\""
"\"57\"";-0.026008743002754;10.9973415359456;0.9251;0;1;-23.38997;0.998939276441435;0.0460469541084108;176;23.8;"\"17\""
"\"58\"";0.076448274213522;10.5428657294803;0.9235;0.0627;0;-23.36312;0.9993965142749;0.0347362527509849;193;23.7;"\"17\""
"\"59\"";-0.106481932476862;10.1416745619022;0.9303;0;3;-23.58481;0.988333056394565;0.152308140418616;138;23.9;"\"18\""
"\"60\"";-0.011131154785939;10.6012855392967;0.9314;0;2;-23.62158;0.985049840686574;0.172269589200634;129;24;"\"18\""
"\"61\"";0.060321070307855;10.1446193608851;0.9317;0;1;-23.65176;0.982336370267847;0.187123637333695;126;24;"\"18\""
"\"62\"";0.00945966362731209;9.83267257467916;0.9327;0;0;-23.68172;0.97898901495672;0.203912992705396;121;24;"\"18\""
"\"63\"";0.193855886669488;11.990663196725;0.8852;0.9611;3;-25.72055;-0.953822498072558;-0.300370841079197;1006;21.7;"\"19\""
"\"64\"";0.113158799032432;12.7518199728938;0.8855;0.9968;2;-25.69008;-0.957712814432269;-0.287725850545659;1008;21.7;"\"19\""
"\"65\"";-0.080738024172336;11.5645521140746;0.886;0.424;1;-25.60113;-0.962283475474006;-0.272048732453706;1006;21.7;"\"19\""
"\"66\"";0.204518157208223;11.1258664748934;0.8862;0.619;0;-25.55868;-0.968255543389554;-0.249962402563665;1006;21.7;"\"19\""
"\"67\"";0.098505301039371;12.3431689882201;0.876;0.7615;3;-24.25235;-0.991454141728875;0.13045568154994;1115;21.3;"\"20\""
"\"68\"";0.056587112124393;11.7500362797243;0.8756;0.6449;2;-24.264;-0.991631935526697;0.129097267374554;1114;21.3;"\"20\""
"\"69\"";0.123863375619088;10.9538480049992;0.8759;0.4295;1;-24.29197;-0.991291614495362;0.131684984076316;1113;21.3;"\"20\""
"\"70\"";0.12990444077608;10.4874909487171;0.8768;0.346;0;-24.35892;-0.991707930316495;0.128512182097159;1113;21.3;"\"20\""
"\"71\"";0.0802609471028968;10.6279958344515;0.5143;0.9548;3;-10.85045;0.79362800522916;0.608403311394657;450;25.1;"\"21\""
"\"72\"";0.187106224133481;11.5830494953572;0.5115;0.9782047;2;-10.86147;0.803451020470348;0.59537085728574;448;25.1;"\"21\""
"\"73\"";0.0960272690733072;12.0553102936063;0.5042;0.9345238;1;-10.84101;0.809335091251646;0.587347180182803;462;25;"\"21\""
"\"74\"";0.248057050933508;13.420257751424;0.7302;0.8685;3;-9.62727;-0.8777524615005;0.479114408393041;444;25.8;"\"22\""
"\"75\"";0.126242526385226;12.3507436230027;0.7273;0.9298;2;-9.64365;-0.87818809211858;0.478315455386012;409;25.9;"\"22\""
"\"76\"";0.100840438707064;13.0088950461034;0.7243;0.9704;1;-9.62211;-0.871812700395526;0.489839377172825;413;26;"\"22\""
"\"77\"";0.00293527086026799;8.29834725069463;0.6651;0.1656;3;50.74388;0.500275706410089;-0.865866166087974;717;7;"\"24\""
"\"78\"";0.102732852940086;7.92202287544364;0.6809;0.2321;2;50.74152;0.498794344559756;-0.866720371189696;757;7.4;"\"24\""
"\"79\"";0.131871704665955;9.2374183028431;0.6809;0.3001;1;50.73844;0.496113801607431;-0.868257505498584;692;7.4;"\"24\""
"\"80\"";0.0437379730164044;6.22541641774254;0.4814;0.1014;3;-45.25074;-0.677953649335902;-0.735104651972855;797;6.8;"\"25\""
"\"81\"";0.0290698118623614;7.03887208290854;0.4882;0.1562;2;-45.24508;-0.670984157265621;-0.741471685702525;821;6.7;"\"25\""
"\"82\"";0.10427771189058;7.34560469824682;0.5006;0.2207;1;-45.23937;-0.658749382164761;-0.75236244689481;845;6.7;"\"25\""
"\"83\"";0.00640088302043401;13.5838148743729;0.7777;0.9555;3;-32.94466;-0.388501965121216;-0.921447894944122;518;14.5;"\"26\""
"\"84\"";0.228241990575083;12.0030037190739;0.7699;0.9466;2;-32.94347;-0.396411952621897;-0.918072744295622;567;14.2;"\"26\""
"\"85\"";0.130917838551136;12.6494353731669;0.7804;0.8027;1;-32.93238;-0.389773192881119;-0.920910884999878;426;14.8;"\"26\""
"\"86\"";0.124983358879125;10.2924214641937;0.9441;0.639;3;-30.05633;-0.391577428383934;-0.920145161145906;574;14;"\"27\""
"\"87\"";0.228815159651606;10.6971074527202;0.9441;0.247;2;-30.05624;-0.392607745151624;-0.919706017402821;599;14;"\"27\""
"\"88\"";0.111537634084632;9.8419883440698;0.9441;0.1665;1;-30.05416;-0.38838217361237;-0.92149839241321;622;14;"\"27\""
"\"89\"";0.197517790210029;9.50922435267382;0.9427;0.5248;0;-30.05385;-0.398173920541654;-0.917309941623053;647;13.8;"\"27\""
"\"90\"";0.034024528679542;3.62164820828098;0.808;0.3762;3;39.09774;0.508237086589539;0.86121719897769;1462;7.2;"\"28\""
"\"91\"";0.0455947622539541;9.66835906740358;0.8118;0.0033;2;39.10053;0.514338867267266;0.857587039091791;1449;7.2;"\"28\""
"\"92\"";0.022229588457645;8.6647120720013;0.8099;0.2233;1;39.09876;0.512313531403523;0.858798489484495;1454;7.2;"\"28\""
"\"93\"";0.135196644741043;8.22573618951036;0.8136;0.1383;0;39.08804;0.441506108353653;0.897258243922235;1443;7.3;"\"28\""
"\"94\"";0.0632353494846592;9.04932176053617;0.7722;0.3577;3;38.56683;-0.478471719468207;0.878102963022638;1286;7.6;"\"29\""
"\"95\"";0.0781226574669641;7.44414413617579;0.7722;0.1426;2;38.56807;-0.478752687913829;0.877949807116149;1287;7.6;"\"29\""
"\"96\"";0;8.81914317488591;0.7722;0.0018;1;38.56961;-0.478664890539497;0.877997677995113;1287;7.6;"\"29\""
"\"97\"";0.131203918815826;10.2825083264047;0.7483;1;3;38.56636;-0.936913476869422;0.349561349208476;1184;7.9;"\"30\""
"\"98\"";0.115553226827828;10.8177343157407;0.7483;0.9732183;2;38.56655;-0.936833052978451;0.34977683006036;1183;7.9;"\"30\""
"\"99\"";0.0734222310867192;10.800430473869;0.7477;0.972211;1;38.56694;-0.936022569703279;0.351939979266451;1182;7.9;"\"30\""
"\"100\"";0.0648724193533295;10.3035518653291;0.7472;0.8684;0;38.58506;-0.944803210399497;0.327638357978434;1198;7.8;"\"30\""
"\"101\"";0.0053849313103296;4.82181956042729;0.6775;0.1527;3;49.26454;0.981816624833364;-0.189831807663575;626;-1.2;"\"31\""
"\"102\"";0.0392647203798276;6.7344335870223;0.6726;0.1232;2;49.26278;0.982710949555576;-0.185146400514777;634;-1.2;"\"31\""
"\"103\"";0.00534753432760529;5.95573639394107;0.6731;0.0136;1;49.29804;0.981683502033787;-0.190519032736049;590;-1.1;"\"31\""
"\"104\"";0.0064268425812876;5.2046846682843;0.694;0.0156;3;49.52535;0.682059727031606;-0.731296471180855;682;-0.9;"\"32\""
"\"105\"";0.000304640914799799;5.19669621342662;0.6784;0.0729;2;49.54666;0.67784352022454;-0.735206203788844;748;-1.1;"\"32\""
"\"106\"";0.0060886985406194;6.80962790566812;0.6784;0.12;1;49.54646;0.678842773483866;-0.734283656966933;751;-1.1;"\"32\""
"\"107\"";-0.0102850674164856;4.65550571133408;0.727;0.5207;3;49.56109;-0.415656516021419;-0.909521665871097;682;-0.5;"\"33\""
"\"108\"";0.009540516099277;4.8868468433594;0.727;0.1431;2;49.56143;-0.417165748601947;-0.908830423232727;683;-0.5;"\"33\""
"\"109\"";0.030708009145707;5.22454726535349;0.7339;0.0927;1;49.50364;-0.531190018711746;-0.84725271555836;757;-0.6;"\"33\""
"\"110\"";0.084044377591714;6.66687381010129;0.942;0.602;3;43.98449;-0.991278654664497;0.131782505692318;1155;5.1;"\"34\""
"\"111\"";0.00111369590633098;7.13698114035291;0.9418;0.1371;2;43.97099;-0.991256237314661;0.131951021158539;1164;5;"\"34\""
"\"112\"";0.054244973143639;7.54645973934056;0.9412;0.1267;1;43.96438;-0.958341913864744;0.285623486656926;1114;5.1;"\"34\""
"\"113\"";0.0886660550312406;10.2991275586901;0.7406;0.2352941;3;-0.89437;0.413220079651165;0.910631190863285;78;24.8;"\"35\""
"\"114\"";0.0683943781702094;11.5483433544103;0.774;0.6682221;1;-0.8994;0.426724026148197;0.904381891408642;158;24.8;"\"35\""
"\"115\"";0.10365627528154;11.7769728109693;0.7435;0.4868282;0;-0.90503;0.430013142005222;0.902822628040966;172;24.5;"\"35\""
"\"116\"";NA;11.1954849703542;0.7874;1;3;-4.37532;0.245918649603101;0.969290471312592;179;24.8;"\"36\""
"\"117\"";0.073905968659716;10.7148886764899;0.7972;0.7638;2;-4.36613;0.249658269488837;0.968334006671169;212;24.6;"\"36\""
"\"118\"";0.0571938548127525;10.9909698934929;0.7988;0.8113;0;-4.35728;0.251246000807543;0.967923265077463;205;24.5;"\"36\""
"\"119\"";0.118693461282428;10.3941028113141;0.6247;1;3;-3.40324;-0.704680445264951;0.709524819904978;1824;19.4;"\"38\""
"\"120\"";0.055857775570386;9.25086078509104;0.4602;1;2;-3.4077;-0.714544410701762;0.699590083645325;1376;21.8;"\"38\""
"\"121\"";0.023369478355985;10.2476473769022;0.636;1;1;-3.415;-0.703707735258488;0.710489565959536;1653;19.9;"\"38\""
"\"122\"";0.006031532011457;4.91235296216826;0.4818;0.0542;3;47.64005;-0.661807875095536;0.749673486567007;88;10.2;"\"39\""
"\"123\"";0.0345583415641428;4.4199575200383;0.4816;0.0315;2;47.62921;-0.660607550914906;0.750731419133507;87;10.2;"\"39\""
"\"124\"";0.100446086266091;5.61781543824662;0.4819;0.0836;1;47.60451;-0.648062581179001;0.761587086862436;87;10.2;"\"39\""
"\"125\"";0.0515263874005982;4.82083973497397;0.4988;0.0181;3;47.47921;-0.476217198775032;0.879327686127795;87;10.4;"\"40\""
"\"126\"";0.0275059592575519;5.39441741018566;0.5043;0.0028;2;47.45608;-0.45535218718874;0.890311398120023;83;10.5;"\"40\""
"\"127\"";0.0515202074584211;5.07276619311436;0.4996;0.0406;1;47.48124;-0.47515286391969;0.879903265085951;84;10.4;"\"40\""
"\"128\"";0.022568127349613;6.85731400028086;0.8281;0.8582;3;37.4932;0.908189733742583;-0.418558726494354;1077;13.9;"\"41\""
"\"129\"";0.0550518494000767;7.34055774376773;0.8284;0.8875;2;37.49119;0.907493675272176;-0.420065744069899;1082;13.8;"\"41\""
"\"130\"";0.0597783872289658;7.99648128213202;0.8284;0.7162;1;37.48745;0.904756874685038;-0.425928395050345;1100;13.8;"\"41\""
"\"131\"";0.055191375684884;9.272240737907;0.8164;0.5226;3;37.51213;0.783301150792136;-0.621642427097536;1239;12.2;"\"42\""
"\"132\"";0.149920056025426;10.4784079531884;0.8164;0.2612;2;37.51093;0.783804424141092;-0.621007749304992;1239;12.2;"\"42\""
"\"133\"";0.102630364176806;8.3967504117533;0.8164;0.1283;1;37.50846;0.784499461072818;-0.620129499037466;1262;12.2;"\"42\""
"\"134\"";0.0609125923517963;7.7770812657914;0.7578;0.4654;3;36.69489;-0.516189505616676;0.856474397919291;2144;7.9;"\"43\""
"\"135\"";0.0910606963652407;7.77923752790699;0.7578;0.328;2;36.69303;-0.51956854377292;0.854428773112005;2214;7.9;"\"43\""
"\"136\"";0.0638881024415987;7.39713928187729;0.7578;0.0626;1;36.69568;-0.519662527794383;0.854371615403012;2136;7.9;"\"43\""
"\"137\"";0.0791659254673309;7.61533094006275;0.7592;0.1826;0;36.69578;-0.520755697455991;0.853705747647938;2137;8;"\"43\""
"\"138\"";0.25119934495977;9.4401605977243;0.7934;0.5582;3;37.41242;0.978846241982647;0.204597249630705;1475;10.8;"\"44\""
"\"139\"";0.234698377892452;9.43799193125566;0.7912;0.6706;2;37.41519;0.976042957759288;0.217577904688183;1617;10.3;"\"44\""
"\"140\"";0.15127804937646;9.86536779700981;0.7912;0.4965;0;37.41547;0.974844897518903;0.222884332740906;1513;10.3;"\"44\""
"\"141\"";0.0783628567775145;4.79096853999669;0.8896;0.0048;3;36.61167;-0.769090385202801;-0.639140031126674;617;17;"\"45\""
"\"142\"";0.115000218637849;7.21375286783601;0.8829;0.2901;2;36.60317;-0.771519920740265;-0.636205164943617;695;16.5;"\"45\""
"\"143\"";0.21897963970176;8.86274360050041;0.877;0.3712;1;36.59978;-0.769020075146523;-0.639224627202079;723;16.1;"\"45\""
"\"144\"";0.122592862505059;8.22288219459161;0.877;0.2423;0;36.59817;-0.767098943553683;-0.641528807458264;784;16.1;"\"45\""
"\"145\"";0.129571148864134;12.8231856984077;0.7935;0.9421;3;31.65;-0.946533534398623;-0.322605437429147;240;18.8;"\"46\""
"\"146\"";0.163746910259647;12.3764430910845;0.7926;0.9115;2;31.655;-0.944908682287886;-0.327334052822145;236;18.9;"\"46\""
"\"147\"";0.116360820322664;11.2732359930121;0.7853;0.4978;1;31.674;-0.947497089861476;-0.31976438936197;201;19;"\"46\""
"\"148\"";0.315791992846202;12.8990248953782;0.7995;0.6824;0;31.632;-0.947497089861476;-0.31976438936197;240;18.9;"\"46\""
"\"149\"";0.0963132656112725;9.28799972054225;0.6724;0.0272;3;32.575;-0.851749586891526;-0.523949082669409;248;18.8;"\"47\""
"\"150\"";0.080915064893274;9.69197858401239;0.6724;0.2305;2;32.572;-0.850173909131021;-0.526501969828109;249;18.8;"\"47\""
"\"151\"";0.106290049667548;10.0175103337255;0.678;0.1502;1;32.564;-0.861550284336475;-0.507672244228242;207;19;"\"47\""
"\"152\"";0.228677772482545;10.8829863614885;0.678;0.0627;0;32.563;-0.862563905048042;-0.50594812946415;197;19;"\"47\""
"\"153\"";0.022104192604766;8.25082579420386;0.89;0.4431;3;31.277;-0.996088126208875;-0.0883654051407676;173;19.8;"\"48\""
"\"154\"";0.014723308508011;8.01548185624014;0.8921;0.2596;2;31.275;-0.995349335858199;-0.0963311974733097;185;19.8;"\"48\""
"\"155\"";0.045832273515316;8.8398040832445;0.8921;0.5329;1;31.271;-0.995055863630618;-0.0993168075117438;189;19.8;"\"48\""
"\"156\"";0.133534538172402;9.41594695269334;0.8921;0.9443;0;31.27;-0.995726696836491;-0.0923490400983709;193;19.8;"\"48\""
"\"157\"";0.0069936100199609;5.36637486252155;0.7762;4e-04;3;50.57947;0.598593952818873;0.801052607291604;333;2.9;"\"49\""
"\"158\"";0.0341409435335141;6.23725603220915;0.7793;0.0114;2;50.57119;0.57878232846223;0.815482075989313;335;2.9;"\"49\""
"\"159\"";0.0641780162051335;6.53630077074381;0.7868;0.0197;1;50.55292;0.565421920634006;0.824801825693028;337;2.9;"\"49\""
"\"160\"";-0.0011321721283086;7.47897898080924;0.861;0.812;3;48.40537;0.900781054876464;0.434273521154174;379;4.4;"\"50\""
"\"161\"";0.0272868748471866;6.94775711075483;0.8594;0.6506;2;48.41341;0.89684943504564;0.442335947960728;379;4.4;"\"50\""
"\"162\"";0.0013651646217231;7.02289495990105;0.8601;0.4118;1;48.42521;0.890277759117157;0.455417952677904;379;4.4;"\"50\""
